2026-09-22 10:22:39,700 | INFO | [2/13] https://www.revolut.com/revolut-kids-and-teens-parent-and-guardians/
2026-09-22 10:22:42,258 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/revolut-kids-and-teens-parent-and-guardians/ (may not have one, or uses an unlisted selector)
2026-09-22 10:22:44,086 | INFO | Saved revolut__revolut-kids-and-teens-parent-and-guardians (html: revolut_revolut-kids-and-teens-parent-and-guardians.html, screenshot: revolut_revolut-kids-and-teens-parent-and-guardians.png)
2026-09-22 10:22:44,086 | INFO | [3/13] https://www.revolut.com/revolut-for-ages-16-17/
2026-09-22 10:22:46,828 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/revolut-for-ages-16-17/ (may not have one, or uses an unlisted selector)
2026-09-22 10:22:48,654 | INFO | Saved revolut__revolut-for-ages-16-17 (html: revolut_revolut-for-ages-16-17.html, screenshot: revolut_revolut-for-ages-16-17.png)
2026-09-22 10:22:48,656 | INFO | [4/13] https://www.revolut.com/kids-teens/referrals/
2026-09-22 10:22:50,644 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/kids-teens/referrals/ (may not have one, or uses an unlisted selector)
2026-09-22 10:23:06,673 | WARNING | Content wait timed out (both attempts) for https://www.revolut.com/kids-teens/referrals/
2026-09-22 10:23:07,269 | INFO | Saved revolut__referrals (html: revolut_referrals.html, screenshot: revolut_referrals.png)
2026-09-22 10:23:07,269 | INFO | [5/13] https://www.revolut.com/fr-BE/
2026-09-22 10:23:10,852 | INFO | Dismissed cookie banner via get_by_role(accepter) on https://www.revolut.com/fr-BE/
2026-09-22 10:23:13,898 | INFO | Saved revolut__fr-be (html: revolut_fr-be.html, screenshot: revolut_fr-be.png)
2026-09-22 10:23:13,898 | INFO | [6/13] https://www.revolut.com/en-BE/revolut-kids-and-teens-benefits/
2026-09-22 10:23:17,260 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/en-BE/revolut-kids-and-teens-benefits/ (may not have one, or uses an unlisted selector)
2026-09-22 10:23:19,174 | INFO | Saved revolut__revolut-kids-and-teens-benefits (html: revolut_revolut-kids-and-teens-benefits.html, screenshot: revolut_revolut-kids-and-teens-benefits.png)
2026-09-22 10:23:19,174 | INFO | [7/13] https://www.revolut.com/fr-BE/revolut-kids-and-teens-benefits/
2026-09-22 10:23:22,337 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/fr-BE/revolut-kids-and-teens-benefits/ (may not have one, or uses an unlisted selector)
2026-09-22 10:23:24,244 | INFO | Saved revolut__revolut-kids-and-teens-benefits (html: revolut_revolut-kids-and-teens-benefits.html, screenshot: revolut_revolut-kids-and-teens-benefits.png)
2026-09-22 10:23:24,244 | INFO | [8/13] https://www.revolut.com/fr-BE/kids-and-teens/kids-savings-account/
2026-09-22 10:23:26,110 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/fr-BE/kids-and-teens/kids-savings-account/ (may not have one, or uses an unlisted selector)
2026-09-22 10:23:42,139 | WARNING | Content wait timed out (both attempts) for https://www.revolut.com/fr-BE/kids-and-teens/kids-savings-account/
2026-09-22 10:23:42,732 | INFO | Saved revolut__kids-savings-account (html: revolut_kids-savings-account.html, screenshot: revolut_kids-savings-account.png)
2026-09-22 10:23:42,735 | INFO | [9/13] https://www.revolut.com/fr-BE/u18-activation/
2026-09-22 10:23:46,547 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/fr-BE/u18-activation/ (may not have one, or uses an unlisted selector)
2026-09-22 10:23:48,364 | INFO | Saved revolut__u18-activation (html: revolut_u18-activation.html, screenshot: revolut_u18-activation.png)
2026-09-22 10:23:48,364 | INFO | [10/13] https://www.revolut.com/revolut-under-18-benefits-parents-and-guardians/
2026-09-22 10:23:49,529 | WARNING | URL mismatch after goto (https://www.revolut.com/revolut-kids-and-teens-parent-and-guardians/) — retrying once for https://www.revolut.com/revolut-under-18-benefits-parents-and-guardians/
2026-09-22 10:23:52,380 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/revolut-under-18-benefits-parents-and-guardians/ (may not have one, or uses an unlisted selector)
2026-09-22 10:23:54,096 | INFO | Saved revolut__revolut-under-18-benefits-parents-and-guardians (html: revolut_revolut-under-18-benefits-parents-and-guardians.html, screenshot: revolut_revolut-under-18-benefits-parents-and-guardians.png)
2026-09-22 10:23:54,096 | INFO | [11/13] https://www.revolut.com/get-revolut-under-18
2026-09-22 10:23:54,422 | WARNING | URL mismatch after goto (https://www.revolut.com/getrevolutunder18/) — retrying once for https://www.revolut.com/get-revolut-under-18
2026-09-22 10:23:56,478 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/get-revolut-under-18 (may not have one, or uses an unlisted selector)
2026-09-22 10:23:57,141 | INFO | Saved revolut__get-revolut-under-18 (html: revolut_get-revolut-under-18.html, screenshot: revolut_get-revolut-under-18.png)
2026-09-22 10:23:57,141 | INFO | [12/13] https://www.revolut.com/fr-BE/legal/revolut-under18/
2026-09-22 10:23:59,754 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/fr-BE/legal/revolut-under18/ (may not have one, or uses an unlisted selector)
2026-09-22 10:24:03,158 | INFO | Saved revolut__revolut-under18 (html: revolut_revolut-under18.html, screenshot: revolut_revolut-under18.png)
2026-09-22 10:24:03,158 | INFO | [13/13] https://www.revolut.com/blog/post/revolut-under-18-the-account-built-for-teens/
2026-09-22 10:24:06,042 | INFO | No cookie banner matched/dismissed for https://www.revolut.com/blog/post/revolut-under-18-the-account-built-for-teens/ (may not have one, or uses an unlisted selector)
2026-09-22 10:24:07,373 | INFO | Saved revolut__revolut-under-18-the-account-built-for-teens (html: revolut_revolut-under-18-the-account-built-for-teens.html, screenshot: revolut_revolut-under-18-the-account-built-for-teens.png)
2026-09-22 10:24:08,141 | INFO | === Scraping hello_bank (Hello bank!) — 8 pages ===
2026-09-22 10:24:09,074 | INFO | [1/8] https://www.hellobank.be/fr/notre-offre/comptes-et-cartes/compte-courant-27y
2026-09-22 10:24:09,074 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,081 | INFO | [2/8] https://www.hellobank.be/fr/notre-offre/comptes-et-cartes/compte-all-in-gratuit
2026-09-22 10:24:09,082 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,082 | INFO | [3/8] https://www.hellobank.be/fr/notre-offre/comptes-et-cartes/carte-de-credit
2026-09-22 10:24:09,083 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,083 | INFO | [4/8] https://www.hellobank.be/fr/notre-offre/comptes-et-cartes/application-hello-bank
2026-09-22 10:24:09,084 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,084 | INFO | [5/8] https://www.hellobank.be/fr/notre-offre/epargner-et-placer/compte-epargne-boost
2026-09-22 10:24:09,084 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,084 | INFO | [6/8] https://www.hellobank.be/fr/notre-offre/epargner-et-placer/commencer-a-investir
2026-09-22 10:24:09,085 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,085 | INFO | [7/8] https://www.hellobank.be/fr/devenir-hello
2026-09-22 10:24:09,085 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,085 | INFO | [8/8] https://www.hellobank.be/fr/infos-conseils
2026-09-22 10:24:09,086 | WARNING | Skipped: No robots.txt loaded for domain 'www.hellobank.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:09,477 | INFO | === Scraping argenta (Argenta) — 11 pages ===
2026-09-22 10:24:10,730 | INFO | [1/11] https://www.argenta.be/fr/thema/les-jeunes.html
2026-09-22 10:24:10,730 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,730 | INFO | [2/11] https://www.argenta.be/fr/thema/les-jeunes/les-parents/affaires-bancaires-au-quotidien-pour-votre-ado.html
2026-09-22 10:24:10,730 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,730 | INFO | [3/11] https://www.argenta.be/fr/formules/green.html
2026-09-22 10:24:10,730 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,730 | INFO | [4/11] https://www.argenta.be/fr/argenta-vous-informe/j-ai-18-ans-et-maintenant.html
2026-09-22 10:24:10,730 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,730 | INFO | [5/11] https://www.argenta.be/fr/argenta-vous-informe/que-devez-vous-savoir-en-tant-qu-etudiant-jobiste.html
2026-09-22 10:24:10,734 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,734 | INFO | [6/11] https://www.argenta.be/fr/argenta-vous-informe/10-conseils-destines-aux-jeunes-pour-economiser-de-l-argent.html
2026-09-22 10:24:10,734 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,734 | INFO | [7/11] https://www.argenta.be/fr/argenta-vous-informe/une-carte-bancaire-personnelle-pour-votre-enfant-a-partir-de-quel-age.html
2026-09-22 10:24:10,734 | WARNING | Skipped: No robots.txt loaded for domain 'www.argenta.be' — refusing to scrape rather than guessing. Add its robots.txt to robots_checker.py + DOMAIN_TO_ROBOTS_KEY first.
2026-09-22 10:24:10,734 | INFO | [8/11] https://www.argenta.be/fr/argenta-vous-informe/7-conseils-pour-apprendre-a-votre-enfant-a-epargner.html
